n,comps_QS,swaps_QS,comps_MS,swaps_MS,comps_HS,swaps_HS
100,562,164,534,1344,1026,570
200,890,382,1280,3088,2454,1361
300,1958,581,2090,4976,4028,2203
400,2452,839,2959,6976,5724,3110
500,3502,1054,3843,8976,7448,4049
600,4570,1333,4784,11152,9230,4993
700,4994,1584,5769,13352,11138,6018
800,5388,1892,6734,15552,13022,7004
900,6454,2124,7706,17752,14950,8072
1000,7306,2400,8699,19952,16844,9081
1100,10033,2581,9747,22304,18896,10162
1200,10107,2889,10790,24704,20854,11184
1300,10070,3216,11838,27104,22966,12344
1400,10280,3586,12885,29504,25056,13442
1500,10903,3811,13932,31904,27116,14552
1600,13358,4061,15017,34304,29264,15702
1700,12742,4410,16164,36704,31238,16736
1800,15237,4726,17199,39104,33500,17896
1900,17097,4963,18307,41504,35576,19028
2000,15959,5292,19357,43904,37766,20203
2100,16054,5611,20542,46408,39842,21300
2200,19132,5822,21675,49008,42114,22488
2300,19989,6120,22834,51608,44392,23718
2400,22093,6355,23978,54208,46622,24882
2500,21539,6741,25131,56808,48902,26083
2600,22945,7024,26265,59408,51124,27255
2700,29212,7261,27389,62008,53370,28440
2800,23584,7781,28528,64608,55588,29599
2900,30930,7870,29732,67208,58006,30880
3000,28125,8271,30920,69808,60182,32072
3100,27865,8644,32066,72408,62518,33245
3200,30246,8959,33265,75008,64706,34396
3300,31148,9136,34452,77608,67204,35742
3400,28550,9643,35627,80208,69332,36841
3500,30952,9947,36882,82808,71742,38081
3600,31395,10249,37997,85408,74074,39400
3700,36619,10456,39232,88008,76446,40593
3800,34178,10948,40465,90608,78824,41884
3900,36312,11202,41620,93208,81118,43108
4000,39976,11331,42758,95808,83440,44336
4100,36991,11803,44023,98416,85804,45549
4200,40108,12075,45257,101216,88126,46786
4300,38934,12484,46494,104016,90646,48108
4400,54870,12445,47688,106816,92988,49338
4500,48192,13013,49004,109616,95480,50661
4600,46163,13290,50235,112416,97906,51927
4700,39069,13942,51508,115216,100410,53291
4800,49218,13936,52698,118016,102934,54594
4900,47845,14369,53909,120816,105372,55872
5000,52025,14624,55168,123616,107728,57069
5100,50390,14982,56510,126416,110194,58419
5200,48647,15428,57817,129216,112682,59693
5300,51143,15753,59039,132016,115146,60993
5400,55216,16053,60309,134816,117590,62304
5500,49816,16690,61509,137616,120038,63595
5600,57907,16733,62720,140416,122400,64823
5700,56231,17046,64086,143216,125032,66187
5800,61506,17268,65283,146016,127416,67511
5900,58507,17713,66549,148816,130064,68852
6000,63745,17930,67883,151616,132428,70072
6100,67614,18266,69093,154416,134974,71421
6200,66782,18588,70398,157216,137562,72829
6300,70838,18763,71601,160016,140016,74150
6400,72628,19290,72985,162816,142380,75309
6500,66483,19713,74259,165616,145048,76781
6600,71301,19846,75533,168416,147500,78084
6700,67795,20483,76849,171216,150030,79324
6800,70807,20764,78039,174016,152562,80672
6900,66949,21405,79399,176816,155024,81990
7000,68971,21652,80660,179616,157574,83333
7100,77438,21837,81964,182416,160118,84662
7200,76702,22147,83221,185216,162678,86093
7300,74068,22519,84567,188016,165136,87306
7400,77452,22931,85828,190816,167672,88652
7500,82200,22959,87156,193616,170240,89955
7600,86158,23543,88349,196416,172682,91245
7700,81936,23664,89660,199216,175230,92595
7800,82622,24254,91077,202016,177764,93979
7900,85775,24404,92407,204816,180252,95269
8000,100201,24505,93600,207616,182924,96698
8100,86294,25264,95046,210416,185422,97948
8200,92275,25634,96296,213232,187856,99214
8300,86546,26054,97537,216232,190590,100672
8400,86132,26541,98985,219232,193150,101987
8500,90322,26650,100282,222232,195628,103291
8600,86783,27345,101623,225232,198352,104701
8700,97002,27238,102980,228232,201020,106189
8800,89950,28085,104348,231232,203642,107548
8900,95609,28036,105597,234232,206250,108913
9000,102333,28289,107008,237232,208916,110292
9100,104873,28738,108370,240232,211444,111584
9200,100314,29028,109735,243232,214060,112963
9300,111167,29203,110927,246232,216916,114491
9400,108594,29877,112371,249232,219472,115819
9500,100029,30275,113724,252232,221998,117229
9600,106175,30376,114970,255232,224746,118568
9700,110167,30902,116359,258232,227456,120050
9800,115980,30979,117647,261232,230140,121422
9900,123227,31265,119016,264232,232780,122833
10000,110016,31868,120493,267232,235308,124125
10100,114890,32165,121785,270232,238082,125538
10200,109629,33052,123086,273232,240610,126930
10300,122157,32702,124543,276232,243374,128318
10400,125037,33187,125788,279232,246166,129814
10500,113937,34054,127371,282232,248672,131204
10600,119750,34089,128592,285232,251220,132460
10700,134206,34430,129832,288232,254128,133975
10800,115682,35027,131191,291232,256600,135325
10900,131441,34989,132582,294232,259260,136636
11000,128558,35206,134053,297232,262096,138187
11100,132418,36015,135382,300232,264708,139568
11200,127255,36195,136755,303232,267434,140989
11300,139374,36317,138113,306232,269846,142124
11400,139230,36976,139605,309232,272890,143867
11500,132382,37367,140781,312232,275444,145236
11600,137069,37402,142246,315232,278186,146663
11700,127921,38250,143579,318232,280700,147825
11800,141410,37903,144880,321232,283604,149367
11900,137489,38671,146301,324232,286172,150761
12000,167920,38691,147637,327232,288880,152222
12100,139507,39412,149051,330232,291666,153698
12200,153345,39285,150443,333232,294366,155080
12300,144023,40089,151759,336232,297158,156557
12400,137682,40845,153035,339232,299752,157925
12500,166532,39980,154394,342232,302496,159354
12600,169863,40258,155862,345232,305252,160797
12700,142218,41640,157268,348232,307726,162127
12800,146367,42101,158627,351232,310564,163602
12900,149561,42409,160134,354232,313366,165087
13000,165838,42368,161584,357232,316116,166600
13100,159159,42720,162892,360232,318504,167717
13200,171894,42789,164160,363232,321330,169321
13300,169059,43122,165589,366232,324048,170569
13400,165197,44171,166874,369232,326850,172165
13500,165729,44364,168432,372232,329588,173503
13600,168078,44485,169807,375232,332310,174939
13700,170512,44885,171270,378232,334988,176378
13800,168390,45470,172596,381232,337514,177684
13900,175032,45393,173981,384232,340438,179320
14000,178886,46036,175309,387232,343040,180589
14100,192824,45869,176768,390232,345758,182029
14200,166158,47135,178143,393232,348510,183563
14300,179664,47104,179543,396232,351230,184938
14400,173888,47525,180810,399232,354012,186340
14500,172862,48109,182412,402232,356526,187658
14600,180275,48229,183639,405232,359144,189047
14700,185737,48559,185053,408232,361918,190460
14800,186076,48991,186301,411232,364816,191908
14900,178561,49449,188026,414232,367578,193530
15000,201313,49250,189366,417232,370234,194868
